Manufacturer,Model Number,QTY,ETA
Kraus,C-GV-103-14-12mm-1300SN,30,
Kraus,C-GV-103-14-12mm-1300AB,0,Discontinued
Kraus,C-GV-103-14-12mm-1300ORB,0,Discontinued
Kraus,C-GV-103-14-12mm-1800CH,30,
Kraus,C-GV-103-14-12mm-1810CH,30,
Kraus,C-GV-103FR-12mm-10CH,30,
Kraus,C-GV-103FR-12mm-10SN,30,
Kraus,C-GV-103FR-12mm-10AB,0,Discontinued
Kraus,C-GV-103FR-12mm-10ORB,30,
Kraus,C-GV-103FR-12mm-10G,30,
Kraus,C-GV-103FR-12mm-1002CH,30,
Kraus,C-GV-103FR-12mm-1002SN,30,
Kraus,C-GV-103FR-12mm-1002AB,0,Discontinued
Kraus,C-GV-103FR-12mm-1002ORB,0,Discontinued
Kraus,C-GV-103FR-12mm-1005CH,30,
Kraus,C-GV-103FR-12mm-1005SN,30,
Kraus,C-GV-103FR-12mm-1005ORB,30,
Kraus,C-GV-103FR-12mm-1007CH,30,
Kraus,C-GV-103FR-12mm-1007SN,30,
Kraus,C-GV-103FR-12mm-1007AB,0,Discontinued
